bwt-geomix	enwik8	100000000	26222250	0.262223	true	1762524
bwt-ctxmix	enwik8	100000000	26222250	0.262223	true	1858950
bitpack-fixed	dickens	10192446	2968279	0.291223	true	118101
bitpack-fixed	dickens	10192446	2968279	0.291223	true	131615
bwt-geomix	enwik8	100000000	26222250	0.262223	true	1793637
rle-codes	dickens	10192446	2968279	0.291223	true	129716
bwt-ctxmix	enwik8	100000000	26222250	0.262223	true	1936786
entropy	dickens	10192446	2968279	0.291223	true	116798
rle-codes	dickens	10192446	2968279	0.291223	true	125040
entropy	dickens	10192446	2968279	0.291223	true	126998
entropy-context	dickens	10192446	2968279	0.291223	true	134244
entropy-context-2	dickens	10192446	2968279	0.291223	true	127074
entropy-context-2	dickens	10192446	2968279	0.291223	true	114913
entropy-context	dickens	10192446	2968279	0.291223	true	160958
bwt-entropy	dickens	10192446	2968279	0.291223	true	114824
bwt-entropy	dickens	10192446	2968279	0.291223	true	117982
order2-rans	dickens	10192446	2958925	0.290306	true	118531
bwt-rans	dickens	10192446	2958925	0.290306	true	150753
bwt-rans	dickens	10192446	2958925	0.290306	true	160766
bwt-adaptive	dickens	10192446	2958925	0.290306	true	133690
order2-rans	dickens	10192446	2958925	0.290306	true	143559
bwt-adaptive	dickens	10192446	2958925	0.290306	true	118783
bwt-ctxmix	dickens	10192446	2958925	0.290306	true	120887
bwt-ctxmix	dickens	10192446	2958925	0.290306	true	124511
bwt-geomix	dickens	10192446	2958925	0.290306	true	139432
lz-rans	dickens	10192446	2958925	0.290306	true	149271
bwt-geomix	dickens	10192446	2958925	0.290306	true	150361
lz-rans	dickens	10192446	2958925	0.290306	true	122391
auto	mr	9970564	3316207	0.332600	true	85950
auto	mr	9970564	3316207	0.332600	true	103562
bitpack-fixed	mr	9970564	3316207	0.332600	true	91515
rle-codes	mr	9970564	3316207	0.332600	true	102741
bitpack-fixed	mr	9970564	3316207	0.332600	true	107627
rle-codes	mr	9970564	3316207	0.332600	true	95131
entropy	mr	9970564	3316207	0.332600	true	95510
entropy	mr	9970564	3316207	0.332600	true	97371
entropy-context	mr	9970564	3316207	0.332600	true	96364
entropy-context-2	mr	9970564	3316207	0.332600	true	110453
entropy-context	mr	9970564	3316207	0.332600	true	116187
entropy-context-2	mr	9970564	3316207	0.332600	true	124608
bwt-entropy	mr	9970564	3316207	0.332600	true	152278
bwt-entropy	mr	9970564	3316207	0.332600	true	154057
bwt-rans	mr	9970564	2098063	0.210426	true	230926
order2-rans	mr	9970564	2098063	0.210426	true	237025
bwt-rans	mr	9970564	2098063	0.210426	true	229521
order2-rans	mr	9970564	2098063	0.210426	true	235506
bwt-adaptive	mr	9970564	2098063	0.210426	true	229924
bwt-adaptive	mr	9970564	2098063	0.210426	true	243512
