bucket	sample_count	sum_period	sum_period_squared	total_period	share
state_map_predict	0	0	0	330309475979	0.000000000
state_map_predict_call	0	0	0	330309475979	0.000000000
state_map_update	0	0	0	330309475979	0.000000000
state_map_update_call	0	0	0	330309475979	0.000000000
sm_div	0	0	0	330309475979	0.000000000
ctr_predict_stationary	0	0	0	330309475979	0.000000000
ctr_update_stationary	0	0	0	330309475979	0.000000000
ctr_next_state	0	0	0	330309475979	0.000000000
ctr_record_store	0	0	0	330309475979	0.000000000
target_unresolved	0	0	0	330309475979	0.000000000
other_user	91035	304384340267	1017781881848690243	330309475979	0.921512589
kernel	7812	25922287209	86493347335791859	330309475979	0.078478788
other_dso	1	2848503	8113969341009	330309475979	0.000008624
