bucket	sample_count	sum_period	sum_period_squared	total_period	share
state_map_predict	0	0	0	140998949241	0.000000000
state_map_predict_call	0	0	0	140998949241	0.000000000
state_map_update	0	0	0	140998949241	0.000000000
state_map_update_call	0	0	0	140998949241	0.000000000
sm_div	0	0	0	140998949241	0.000000000
ctr_predict_stationary	0	0	0	140998949241	0.000000000
ctr_update_stationary	0	0	0	140998949241	0.000000000
ctr_next_state	0	0	0	140998949241	0.000000000
ctr_record_store	0	0	0	140998949241	0.000000000
target_unresolved	0	0	0	140998949241	0.000000000
other_user	37923	126720676396	423461832743520718	140998949241	0.898734899
kernel	4308	14278272845	47566651385025557	140998949241	0.101265101
other_dso	0	0	0	140998949241	0.000000000
