file	tool	setting	archive_bytes	ratio	archive_sha256
dickens	cubrim	web	2300603	0.225716	a77d540decf56c5db98278d18799a8095d9d87adc037cb40639bb2e3577bc341
dickens	xz	-9	2830604	0.277716	d4ee71ddcef96093afbc453b7aaf28249b7526b1ade85c86465b25ae3d6bd210
dickens	zstd	-19	2850281	0.279646	d46960485099337613906168eb09145443c2350fcfcb292fea671237a60fef11
dickens	brotli	-q11	2827777	0.277439	741079fd74fd0769b42b02e2f251d2e31428f972f90531aa6ba3e7833968b226
dickens	gzip	-9	3851823	0.377910	2ab07d08ebe6f8850afc4e16d7af684d5e7af81fd93814af299bcc63930d7e26
dickens	bzip2	-9	2799520	0.274666	192e654a7c26c02a7d4ca741f60d4d0ec1fd450df4387a600a864c8a1d45e9c8
dickens	lz4	-12	4384871	0.430208	0c5344b74f1d98a3b565044380ddb8ac249db4ba3f399b90a34f12ef7dcab730
