corpus	file	type	orig	codec	compressed	ratio	encode_rc	decode_rc	cmp	encode_seconds	decode_seconds	archive_sha256
silesia	dickens	text	10192446	7z	2831111	0.27776561190513055	0	0	0	3.922685224097222	0.16475654719397426	0930e79c6a966df6d9b5ee07bda7669f4eaa0a63fb9b2a9b0a99d946ea62829c
silesia	dickens	text	10192446	ppmd	2296792	0.22534257233249017	0	0	0	0.7659480660222471	0.8166509810835123	6b77a7a971e4e3af2788d838613b8c9a16d01530ec83c2d91b872e83d70f1111
silesia	dickens	text	10192446	xz	2831212	0.27777552120462545	0	0	0	6.12813697103411	0.16472749901004136	5f02e173d6f9582e2010934165e0a7524c04fed6986d7a7dcd77efa9f047d173
silesia	dickens	text	10192446	brotli	2827777	0.27743850690992133	0	0	0	19.408818344119936	0.06467406707815826	741079fd74fd0769b42b02e2f251d2e31428f972f90531aa6ba3e7833968b226
silesia	dickens	text	10192446	zstd	2849388	0.27955880266620986	0	0	0	6.428889886941761	0.06463597202673554	0888006f732e367a340fbf2ad1fc14f92b16310c0cf78ce478b73262c6eb45ae
silesia	dickens	text	10192446	bzip2	2799520	0.27466615962449054	0	0	0	0.8160542820114642	0.41528422199189663	192e654a7c26c02a7d4ca741f60d4d0ec1fd450df4387a600a864c8a1d45e9c8
silesia	dickens	text	10192446	gzip	3851823	0.3779095812722481	0	0	0	0.9663354530930519	0.11457080906257033	4a267083db091ef9a88fddde9906adfd92068ed90fad52f6ed49f13c1fa574a9
silesia	dickens	text	10192446	rar	3032405	0.2975149439104215	0	0	0	0.5152273830026388	0.11422405880875885	73843cf27368b9765ad70a6c9bab0619df41e0a1ae4db2bcecfd2fcd28387792
silesia	dickens	text	10192446	lz4	4384871	0.4302079206502541	0	0	0	0.9660596430767328	0.06459202407859266	0c5344b74f1d98a3b565044380ddb8ac249db4ba3f399b90a34f12ef7dcab730
silesia	mozilla	exe	51220480	7z	13344686	0.2605341847635946	0	0	0	11.791158513864502	0.916470211930573	9836579ea9039010a0be1cffb72a18835ee12351d2ceadce89ec3b653954b10e
silesia	mozilla	exe	51220480	ppmd	16211446	0.3165032034061375	0	0	0	8.834354636026546	9.486256956122816	1c74c9e35a3abc99070c7ac5b7c07646a832ab282d54440e40eadaccbc418ba2
silesia	mozilla	exe	51220480	xz	13376240	0.2611502274090364	0	0	0	25.12142999097705	0.9667091011069715	9dd2b654e2194137a4df3bd2371e80eedebcd3788a3b9b9c394285f7ccbca542
silesia	mozilla	exe	51220480	brotli	13872265	0.27083434204443224	0	0	0	144.34429548494518	0.2650076060090214	d0fa5c0850d692baba9e1cd4e70313368b049e8c5677cf5131e1543f7411a9e7
silesia	mozilla	exe	51220480	zstd	14967875	0.2922244188262195	0	0	0	25.571929089957848	0.16480900696478784	d5c6e41a3e9a04e4d190447dc0ca1f4d63fde68886b80397f00225e3308cd378
silesia	mozilla	exe	51220480	bzip2	17914392	0.34975056852259095	0	0	0	3.5724324849434197	1.868509033927694	3f1375c1f9ec1a3d9cef9e9fe8dbdc3e8872c176590d8e06e14d507a6935b430
silesia	mozilla	exe	51220480	gzip	18994142	0.37083100353608556	0	0	0	7.7315711891278625	0.41549824993126094	2b0e4f10d839ba13952c1b41f73c66e484b3be5c8a815a506f4354c5a8ec7b6a
silesia	mozilla	exe	51220480	rar	15154691	0.29587170990978606	0	0	0	1.5694309188984334	0.365054541034624	fe8fafa7d4e04993bf067562d46c038c2eb9d6d66b218690c476679a4a90423b
silesia	mozilla	exe	51220480	lz4	22035615	0.4302110210603259	0	0	0	8.783790110144764	0.11474293004721403	8cb2ad3d35fc931f62a4b17b00f8cf00ee7c2f633fdad5f0a50435db2189dcac
silesia	mr	image	9970564	7z	2748257	0.275637065265315	0	0	0	2.218851857120171	0.21471242094412446	2e94d125f1c5b92b1d0a7911ea1dfa084b5c40c45edfc030912e471a07914462
silesia	mr	image	9970564	ppmd	2301139	0.23079326304911135	0	0	0	0.8159756199456751	0.8664632057771087	f66788dee1712bdc0f3fecfd17340eacbb7cebc8fd2e49e439b5f1faea217971
silesia	mr	image	9970564	xz	2751892	0.2760016384228615	0	0	0	6.127876348095015	0.2148867081850767	7f493be80e17e02b14d386205cb80b03924973a690a6d04910080a3843160ab8
silesia	mr	image	9970564	brotli	2823136	0.28314707172031595	0	0	0	21.76412473595701	0.06455691298469901	53e6f7815c0ebea921219ddcb71d925f3e5a31c2dbbf37281efbe41b4c8d8481
silesia	mr	image	9970564	zstd	3105773	0.3114942143694178	0	0	0	5.226268227910623	0.03234977391548455	07e44942e53649f85d86f2734883ebac31cf49a1d6c3f3c06116221f7cbc6a0b
silesia	mr	image	9970564	bzip2	2441280	0.2448487367414722	0	0	0	0.5654948910232633	0.3151282409671694	b5c65c53720a4b7d933e0d96d87fbc7fab29ebe0ba1247a5ed056875a72da4ee
silesia	mr	image	9970564	gzip	3673940	0.3684786537652233	0	0	0	1.5176821891218424	0.11468239896930754	ce919c48c6593313d9a38bc8a02dfba07e16dd88306453d23ffc618d2602e641
silesia	mr	image	9970564	rar	2779962	0.2788169255019074	0	0	0	0.6656537288799882	0.11459361296147108	d37916d93c724253a1ca179c8cc7f2440c83bfaa3014379d61a0904f9623877d
silesia	mr	image	9970564	lz4	4192122	0.4204498361376548	0	0	0	1.3172370591200888	0.03249595407396555	40e191cee2a4a1e9c55e7e9848300e0fe08d1496e5ea895b388534b26fb3e63f
silesia	nci	database	33553445	7z	1741410	0.051899588849967565	0	0	0	8.73443272896111	0.21495691686868668	56bf1c8b5b8d627f7075ecc7a46d81ae3a17921fd74ab9f562d28e69b2c51cd1
silesia	nci	database	33553445	ppmd	2300655	0.06856687890021428	0	0	0	0.615604483988136	0.7158133019693196	35f863fdb07cb5f571f4a1350d1aea89c264db98622b726ef6f2ed829e1a18de
silesia	nci	database	33553445	xz	1449272	0.04319294188718923	0	0	0	21.813838633941486	0.2149325089994818	e287683be80db2b84d754fdfe0657c7035f976dcd739be2c5521584fed34de10
silesia	nci	database	33553445	brotli	1519768	0.0452939482071066	0	0	0	64.46089971298352	0.11474073398858309	d05234578b69503068f4597002af3cc03b1efa16f19e90fb60836406c4ce77fb
silesia	nci	database	33553445	zstd	1615446	0.04814545868538983	0	0	0	29.036906500114128	0.0645484859123826	91db723bdb8e7aad160e1a12b4a51d0db7be45c3dcbb15de00896eb398701399
silesia	nci	database	33553445	bzip2	1812734	0.05402527221869468	0	0	0	4.073672386817634	0.76621751813218	5510d13d670be5bbcaf8e1c628a21a4913b3380a0de325cb1cf9010c562d2edb
silesia	nci	database	33553445	gzip	2987533	0.08903804065424578	0	0	0	2.2192810729611665	0.16481024818494916	4ace0d1300f010c8e79afe0b8ad5cbee1c5809bce5072e760a394b5dc3706362
silesia	nci	database	33553445	rar	1858707	0.05539541468841724	0	0	0	0.9717407219577581	0.16464475891552866	a866b87caaeefbac1eb40ae668d244b32e8367e5c6a16564ebd5ac2a2a2be253
silesia	nci	database	33553445	lz4	3628161	0.10813080445241911	0	0	0	2.2690934049896896	0.06450167298316956	8138c9a40ab6d52199ee26e78f705005c933b34744bcefb38c9bf9ff308fb5d2
