alice29.txt|text|152089|{"7z": 0.319470836155146, "xz": 0.3190763303065968, "lz4": 0.414047038247342, "rar": 0.3365069137149958, "gzip": 0.3563111073121659, "ppmd": 0.2563367501923216, "zstd": 0.32359342227248516, "bzip2": 0.28405736115037905, "brotli": 0.305656556358448, "cubrim": 0.24269999802747075}|1
asyoulik.txt|text|125179|{"7z": 0.3568170380015817, "xz": 0.35622588453334825, "lz4": 0.46595674993409436, "rar": 0.37489515014499236, "gzip": 0.3900734148699063, "ppmd": 0.29033623850645873, "zstd": 0.36061160418281024, "bzip2": 0.31609934573690474, "brotli": 0.34121537957644654, "cubrim": 0.2758370014139752}|1
cp.html|text|24603|{"7z": 0.31402674470593017, "xz": 0.3110189814250295, "lz4": 0.4189326504897777, "rar": 0.32829329756533754, "gzip": 0.324391334390115, "ppmd": 0.27199934967280415, "zstd": 0.3136202902085112, "bzip2": 0.3098809088322562, "brotli": 0.28025037597041014, "cubrim": 0.26720318660325976}|1
dickens|text|10192446|{"7z": 0.27776561190513055, "xz": 0.27777552120462545, "lz4": 0.4302079206502541, "rar": 0.29750807607908836, "gzip": 0.3779095812722481, "ppmd": 0.22534257233249017, "zstd": 0.27955880266620986, "bzip2": 0.27466615962449054, "brotli": 0.27743850690992133, "cubrim": 0.20726339879553937}|1
enwik8|text|100000000|{"7z": 0.24862427, "xz": 0.24831648, "lz4": 0.41987997, "rar": 0.27351327, "gzip": 0.36445248, "ppmd": 0.22403589, "zstd": 0.25333695, "bzip2": 0.29008758, "brotli": 0.25742001, "cubrim": 0.19552678}|1
fields.c|code|11150|{"7z": 0.2766816143497758, "xz": 0.2719282511210762, "lz4": 0.3785650224215247, "rar": 0.2834977578475336, "gzip": 0.2812556053811659, "ppmd": 0.24762331838565022, "zstd": 0.270762331838565, "bzip2": 0.2725560538116592, "brotli": 0.24367713004484304, "cubrim": 0.2304932735426009}|1
grammar.lsp|code|3721|{"7z": 0.3668368718086536, "xz": 0.347218489653319, "lz4": 0.4668099973125504, "rar": 0.3542058586401505, "gzip": 0.33485622144584787, "ppmd": 0.3163128191346412, "zstd": 0.32625638269282453, "bzip2": 0.3447997850040312, "brotli": 0.3023380811609782, "cubrim": 0.30206933619994625}|1
kennedy.xls|binary|1029744|{"7z": 0.04906850634720863, "xz": 0.050369800649481815, "lz4": 0.3147733805683743, "rar": 0.034537710343541694, "gzip": 0.20367489395422553, "ppmd": 0.13473348715797323, "zstd": 0.06771488836060224, "bzip2": 0.1265168818657841, "brotli": 0.05972163955313165, "cubrim": 0.02339222175608695}|1
lcet10.txt|text|426754|{"7z": 0.2802363891141032, "xz": 0.27999268899647106, "lz4": 0.3846290837344231, "rar": 0.2962573285780567, "gzip": 0.3384361950913172, "ppmd": 0.22624978324749154, "zstd": 0.284412096898916, "bzip2": 0.25238427759318016, "brotli": 0.26576435135933113, "cubrim": 0.20858621125988275}|1
mozilla|exe|51220480|{"7z": 0.2605341847635946, "xz": 0.2611502274090364, "lz4": 0.4302110210603259, "rar": 0.2958750093712515, "gzip": 0.37083100353608556, "ppmd": 0.3165032034061375, "zstd": 0.2922244188262195, "bzip2": 0.34975056852259095, "brotli": 0.27083434204443224, "cubrim": 0.23911624803203718}|1
