file	tool	setting	archive_bytes	ratio	archive_sha256
xml	cubrim	max	338244	0.063279	d64f83f33552922d41e1c32f22f14b283844079b1509d43109140e26a1425a37
xml	xz	-9	453260	0.084796	32f82c653be5304a81269095c8bd29a8db1bc3094a818acd312bd7cdeac84d8c
xml	zstd	-19	454864	0.085096	08a5aa83c893aa0e095d70370f7a1dbd2eb9e2629ec66abd15294fc3c72912f7
xml	brotli	-q11	430566	0.080551	934de4c13a04ba4812ca398bbd4da4af7ad864d2dd94d7ea655c94aeb27743b6
xml	gzip	-9	662284	0.123901	2963c94bfdde620acb84aaa33d5ea46bf2f959731ff7281fed86cdf537d3c37d
xml	bzip2	-9	441186	0.082537	0aabaf9f4690cba2e8e8bb922cc386fc202e93bb1980747530cd8408a6ee4215
xml	lz4	-12	761392	0.142442	334aea1827372af57f3d8b987eca36cc095dfe30844b13be11ae3d98e3fd87ec
