sample	mode_byte	mode	compressed_bytes	decoded_bytes	archive_sha256	decoded_sha256	exact_roundtrip	total_cycles	total_cycles_per_compressed_byte	total_nanos_per_compressed_byte	elapsed_wall_time	max_rss_kib
mr	17	geocm	404341	2097152	6493607227016fc420d17f04778365f4386781dc97c2c0365e1c761a5fc9ff7b	1e254e8d58a0aecd86ce44f29cf00d5531c8b29c1b24efc049371e0f11f59a64	true	42561908234	105262.410277	29239.563641	0:11.85	79900
nci	16	cm2	104139	2097152	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	6788fcc1527c0f62709103e68ac9ab9416461ab00ed1f529b3cf2ae4ab06221e	true	138906969546	1333861.181171	370517.022787	0:38.61	1430008
