file	tbits	comp	rss_mib	calls	adapt_cpc	lookup_cpc	dot_cpc	total_cyc	total_s	llc_miss_pc	cache_miss_pc	dtlb_miss_pc	ipc
dickens	native	461437	1507.70703125	16777216	2948.5299454927444	1822.4480166435242	959.510035276413	141293659672	39.248242233	16.949424922466278	62.27162462472916	8.599538266658783	1.1862666546368434
dickens	22	466176	412.7109375	16777216	2799.210317850113	1686.7617379426956	945.1916773319244	134876756932	37.465769219	14.978970885276794	54.91777175664902	8.431718587875366	1.202389736174184
dickens	20	476746	111.9765625	16777216	2527.3290206193924	1558.920603275299	859.4755648374557	124309249914	34.530350376	13.257421731948853	47.843867897987366	7.985241174697876	1.2677942064096184
dickens	18	499852	34.125	16777216	2592.3449050188065	1482.9418036937714	960.1317868232727	128951043076	35.819737496	10.055416345596313	37.41262722015381	6.65135383605957	1.3286035971067498
dickens	15	568938	10.80859375	16777216	1885.8836975097656	665.8776618242264	899.8679111003876	99526372510	27.646217167	1.0208691358566284	4.71245676279068	0.14495426416397095	1.6294715123274908
nci	native	104139	1396.61328125	16777216	2273.5537470579147	1018.732152223587	909.388879776001	114120828840	31.700190698	5.280724823474884	24.747084379196167	4.2244181632995605	1.4840033958578265
nci	22	104182	383.3671875	16777216	2045.0598652362823	908.2041721343994	835.7303153276443	104036764334	28.899074679	4.422535836696625	20.231629967689514	4.114365339279175	1.5234856134116463
nci	20	104291	109.2421875	16777216	2151.8830711841583	932.0384253263474	895.7453463077545	108570059252	30.158328986	4.098261594772339	18.21343070268631	3.8463027477264404	1.5116039767803833
nci	18	105050	33.48828125	16777216	2239.8260595798492	904.5410622358322	976.5974029302597	113041942804	31.400523004	2.9732452630996704	13.561545133590698	2.952521502971649	1.6386537245869566
nci	15	108772	10.1171875	16777216	1942.2540949583054	622.5116930007935	914.2384506464005	100057175788	27.793648195	1.3973520398139954	7.271251857280731	0.1643351912498474	1.6175027797051535
nci	12	119451	7.12890625	16777216	1961.3097087144852	576.5605888366699	951.5929106473923	102037705924	28.343797526	0.19366031885147095	2.054104447364807	0.013549268245697021	1.6623505776318444
