id	hypothesis_id	codec_rev	corpus_file	run_mode	orig_bytes	comp_bytes	ratio	rt_ok	duration_ms	measured_at	peak_rss_kib	decode_ms	decode_peak_rss_kib	host	cpu_pin
418	NEW-30	10	silesia/nci[0:2097152]	zerorep-nci-balanced-pin0-15-t4	2097152	108014	0.051505088806152344	t		2026-08-09 11:47:09+00		14680	991744	dev-ai	0-15
419	NEW-30	9	silesia/nci[0:2097152]	zerorep-nci-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-09 11:47:09+00		15770	108032	dev-ai	0-15
420	NEW-30	8	silesia/nci[0:2097152]	zerorep-nci-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-09 11:47:09+00		13390	111616	dev-ai	0-15
421	NEW-30	10	silesia/nci[0:2097152]	zerorep-nci-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-09 11:47:09+00		13080	92672	dev-ai	0-15
422	NEW-30	9	silesia/dickens[0:2097152]	zerorep-dickens-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-09 11:47:09+00		26940	1543680	dev-ai	0-15
423	NEW-30	8	silesia/dickens[0:2097152]	zerorep-dickens-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-09 11:47:09+00		19950	1719808	dev-ai	0-15
424	NEW-30	10	silesia/dickens[0:2097152]	zerorep-dickens-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-09 11:47:09+00		20060	1154560	dev-ai	0-15
425	NEW-30	9	silesia/dickens[0:2097152]	zerorep-dickens-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-09 11:47:09+00		25710	1486848	dev-ai	0-15
426	NEW-30	8	silesia/dickens[0:2097152]	zerorep-dickens-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-09 11:47:09+00		19250	1654272	dev-ai	0-15
427	NEW-30	10	silesia/dickens[0:2097152]	zerorep-dickens-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-09 11:47:09+00		19330	1135104	dev-ai	0-15
