file	preset	build	sample	archive_sha256	comp_bytes	dec_s	dec_rss_kib	rt
dickens	web	cand	2	0f3677eeadf937facb8c3b3fd79d6fc04677f19e0b648b983dd732db8a92ba0f	487506	17.26	113152	PASS
dickens	web	base	3	0f3677eeadf937facb8c3b3fd79d6fc04677f19e0b648b983dd732db8a92ba0f	487506	22.57	110080	PASS
dickens	web	cand	3	0f3677eeadf937facb8c3b3fd79d6fc04677f19e0b648b983dd732db8a92ba0f	487506	17.17	113664	PASS
nci	web	base	1	2caaa78101082ccfb753909440a60e7381f94210fd8817ac89ccc02d7b6d6848	108624	15.76	107520	PASS
nci	web	cand	1	2caaa78101082ccfb753909440a60e7381f94210fd8817ac89ccc02d7b6d6848	108624	13.41	111616	PASS
nci	web	base	2	2caaa78101082ccfb753909440a60e7381f94210fd8817ac89ccc02d7b6d6848	108624	15.57	108032	PASS
nci	web	cand	2	2caaa78101082ccfb753909440a60e7381f94210fd8817ac89ccc02d7b6d6848	108624	13.36	111616	PASS
nci	web	base	3	2caaa78101082ccfb753909440a60e7381f94210fd8817ac89ccc02d7b6d6848	108624	15.75	107520	PASS
nci	web	cand	3	2caaa78101082ccfb753909440a60e7381f94210fd8817ac89ccc02d7b6d6848	108624	13.42	111616	PASS
ooffice	web	base	1	a8e04efd9c890c8f72a645571ebfd230774e638e9bef7c3118d22a5fffeb0be4	704087	22.20	112640	PASS
ooffice	web	cand	1	a8e04efd9c890c8f72a645571ebfd230774e638e9bef7c3118d22a5fffeb0be4	704087	16.87	115200	PASS
ooffice	web	base	2	a8e04efd9c890c8f72a645571ebfd230774e638e9bef7c3118d22a5fffeb0be4	704087	22.24	112128	PASS
ooffice	web	cand	2	a8e04efd9c890c8f72a645571ebfd230774e638e9bef7c3118d22a5fffeb0be4	704087	16.96	114688	PASS
ooffice	web	base	3	a8e04efd9c890c8f72a645571ebfd230774e638e9bef7c3118d22a5fffeb0be4	704087	22.29	112640	PASS
ooffice	web	cand	3	a8e04efd9c890c8f72a645571ebfd230774e638e9bef7c3118d22a5fffeb0be4	704087	16.93	115200	PASS
