file	tool	setting	archive_bytes	ratio	archive_sha256
x-ray	cubrim	max	3637036	0.429187	4ed8a550b2e05da471d33dd9f044c4e357fee45cfc77bbfcdb3f173a657953d7
x-ray	xz	-9	4489868	0.529825	5cf745e9b1b46f0b6b91321eea2bada5d70da8b50970d439ef7387b290a25d61
x-ray	zstd	-19	5155753	0.608403	b89e18f654d09760f4393c20c10e5e6f4c2b6b0f3af834b2184341f1cbff357d
x-ray	brotli	-q11	4682753	0.552587	ce28a5fcfa7b480ba099bca3ba0a0f723c1f1828976a57aceaa045c191955d28
x-ray	gzip	-9	6037713	0.712478	04f2900b7a29c4d3628e44c7f1c8165b9111d1d7673f99170f318a7cadbaf7e7
x-ray	bzip2	-9	4051112	0.478050	1233211ff0d01c923f1b2d0b86d883a35b7326f58982a34d399621d85921deb2
x-ray	lz4	-12	7180314	0.847311	846afdb2ec3e728f650090a39016cd23e143841ca83ac95ed1b90afd06a62c52
