sample	mode_byte	mode	profile_status	round_trip_status	input_compressed_bytes	output_bytes	archive_sha256	slice_sha256	decoded_sha256	profile_artifact_sha256
mr	17	geocm	BLOCKED_UNSUPPORTED_MODE	PASS	404341	2097152	6493607227016fc420d17f04778365f4386781dc97c2c0365e1c761a5fc9ff7b	1e254e8d58a0aecd86ce44f29cf00d5531c8b29c1b24efc049371e0f11f59a64	1e254e8d58a0aecd86ce44f29cf00d5531c8b29c1b24efc049371e0f11f59a64	BLOCKED
nci	16	cm2	PASS	PASS	104139	2097152	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	6788fcc1527c0f62709103e68ac9ab9416461ab00ed1f529b3cf2ae4ab06221e	6788fcc1527c0f62709103e68ac9ab9416461ab00ed1f529b3cf2ae4ab06221e	25fa02839a55fd7a64d5dfb02bb34d269ed3e6537c69af127fe49a150e0af334
