file	preset	build	sample	archive_sha256	comp_bytes	dec_s	dec_rss_kib	rt
nci	max	base	1	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	18.71	1430528	PASS
nci	max	current	1	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.62	1710592	PASS
nci	max	zero	1	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.25	998912	PASS
nci	max	base	2	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	18.76	1429504	PASS
nci	max	current	2	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.61	1710592	PASS
nci	max	zero	2	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.25	999424	PASS
nci	max	base	3	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	18.68	1430016	PASS
nci	max	current	3	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.55	1710592	PASS
nci	max	zero	3	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.27	998912	PASS
