sample_id	media_family	variant	parse_chain	orig_bytes	modelled_bytes	store_bytes	chosen_bytes	selected	blocks	bits_frame_header	bits_block_headers	bits_table_descriptors	bits_literals	bits_lengths	bits_length_extra	bits_distances	bits_distance_extra	bits_eob	bits_checksum	bits_context_map	gzip9	brotli11	static_best_today	cm2_champion
html-large-web-codec-v2	html	V4-64KiB-blocks-ctx2	128	227968	18289	227984	18289	web-scheme	4	88	12	4012	38679	27885	6708	23126	45172	39	32	552	15804	11746	22960	10629
html-large-web-codec-v2	html	V1-whole-file	1024	227968	16033	227984	16033	web-scheme	1	88	3	831	25632	25174	6398	22850	47244	12	32	0	15804	11746	22960	10629
html-large-web-codec-v2	html	V2-64KiB-blocks	1024	227968	18162	227984	18162	web-scheme	4	88	12	2684	39682	28310	6665	22705	45073	44	32	0	15804	11746	22960	10629
html-large-web-codec-v2	html	V3-whole-file-ctx2	1024	227968	15988	227984	15988	web-scheme	1	88	3	1261	24844	25030	6398	22850	47244	11	32	138	15804	11746	22960	10629
html-large-web-codec-v2	html	V3-whole-file-ctx3	1024	227968	15758	227984	15758	web-scheme	1	88	3	1623	23424	24245	6398	22850	47244	11	32	142	15804	11746	22960	10629
html-large-web-codec-v2	html	V4-64KiB-blocks-ctx2	1024	227968	18174	227984	18174	web-scheme	4	88	12	4049	38725	27450	6665	22705	45073	38	32	552	15804	11746	22960	10629
html-large-web-codec-v2	html	V1-whole-file	opt256	227968	15058	227984	15058	web-scheme	1	88	3	855	34396	23251	5908	19472	36443	13	32	0	15804	11746	22960	10629
html-large-web-codec-v2	html	V2-64KiB-blocks	opt256	227968	17313	227984	17313	web-scheme	4	88	12	2717	49445	25583	6248	18966	35368	45	32	0	15804	11746	22960	10629
html-large-web-codec-v2	html	V3-whole-file-ctx2	opt256	227968	15022	227984	15022	web-scheme	1	88	3	1299	33239	23539	5908	19472	36443	11	32	138	15804	11746	22960	10629
html-large-web-codec-v2	html	V3-whole-file-ctx3	opt256	227968	14610	227984	14610	web-scheme	1	88	3	1629	30380	22768	5908	19472	36443	11	32	142	15804	11746	22960	10629
html-large-web-codec-v2	html	V4-64KiB-blocks-ctx2	opt256	227968	17358	227984	17358	web-scheme	4	88	12	4133	48059	25358	6248	18966	35368	41	32	552	15804	11746	22960	10629
html-medium-home-v2	html	V1-whole-file	16	25031	5901	25047	5901	web-scheme	1	88	3	751	14938	8808	951	7948	13676	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V2-64KiB-blocks	16	25031	5901	25047	5901	web-scheme	1	88	3	751	14938	8808	951	7948	13676	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx2	16	25031	5887	25047	5887	web-scheme	1	88	3	1137	14444	8662	951	7948	13676	10	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx3	16	25031	5877	25047	5877	web-scheme	1	88	3	1488	14037	8641	951	7948	13676	10	32	142	5801	4763	7295	4700
html-medium-home-v2	html	V4-64KiB-blocks-ctx2	16	25031	5887	25047	5887	web-scheme	1	88	3	1137	14444	8662	951	7948	13676	10	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V1-whole-file	128	25031	5827	25047	5827	web-scheme	1	88	3	750	14863	8582	974	7698	13613	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V2-64KiB-blocks	128	25031	5827	25047	5827	web-scheme	1	88	3	750	14863	8582	974	7698	13613	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx2	128	25031	5821	25047	5821	web-scheme	1	88	3	1137	14336	8533	974	7698	13613	11	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx3	128	25031	5810	25047	5810	web-scheme	1	88	3	1488	13938	8490	974	7698	13613	11	32	142	5801	4763	7295	4700
html-medium-home-v2	html	V4-64KiB-blocks-ctx2	128	25031	5821	25047	5821	web-scheme	1	88	3	1137	14336	8533	974	7698	13613	11	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V1-whole-file	1024	25031	5816	25047	5816	web-scheme	1	88	3	748	14893	8524	977	7619	13628	12	32	0	5801	4763	7295	4700
